date,posts_total,posts_twitter,posts_truthsocial,posts_authored,posts_reblogs,posts_with_text,uppercase_ratio_mean,exclamation_count_mean,scored_authored_posts,tone_score_llm_mean,tone_index_llm,tone_abs_llm_mean,rhetorical_heat_llm_mean,geo_posts_llm,geo_share_llm,geopolitical_score_llm_mean,geopolitical_index_llm,scored_share_authored,reblog_density,platform_regime,trump_tone_index,trump_geopolitical_index,shock_posts_component,shock_tone_component,shock_heat_component,shock_uppercase_component,shock_exclamation_component,shock_reblog_component,trump_shock_index_raw,trump_shock_index,shock_raw_llm,shock_index_llm,tone_index_llm_7d,tone_index_llm_30d,geopolitical_index_llm_7d,geopolitical_index_llm_30d,shock_index_llm_7d,shock_index_llm_30d,trump_tone_index_7d,trump_tone_index_30d,trump_geopolitical_index_7d,trump_geopolitical_index_30d,trump_shock_index_7d,trump_shock_index_30d
2009-06-03,1.0,1.0,0.0,1.0,0.0,1.0,0.1454545454545454,0.0,1.0,0.0,-0.2346354948346383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,0.0,0.0,-2.1741281818596656,-3.0,-2.935891752393743,0.1335553671621703,-1.764477492111951,-0.3161850208479296,-1.880655163638624,-3.0,-1.880655163638624,-3.0,0.0230038374536358,0.2452185973672081,0.0,0.0,-0.7757660510712875,-1.2285010068293143,0.1428571428571428,0.6,0.0,0.0,-0.7757660510712875,-1.2285010068293143
2009-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0335193564049483,0.2452185973672081,0.0,0.0,-0.4285714285714285,-1.2285010068293143,0.0,0.6,0.0,0.0,-0.4285714285714285,-1.2285010068293143
2009-06-05,1.0,1.0,0.0,1.0,0.0,1.0,0.0693069306930693,0.0,1.0,0.0,-0.2346354948346383,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,0.0,0.0,-2.1741281818596656,-3.0,-0.9383057122010272,-0.7283397344817975,-1.764477492111951,-0.3161850208479296,-1.7103015228563114,-2.9590861619137434,-1.7103015228563114,-2.9590861619137434,-0.0670387128098966,0.2373974142060535,0.0,0.0,-0.8512980231305348,-1.3271372122264389,0.0,0.6,0.0,0.0,-0.8512980231305348,-1.3271372122264389
2009-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0670387128098966,0.2373974142060535,0.0,0.0,-0.8512980231305348,-1.3271372122264389,0.0,0.6,0.0,0.0,-0.8512980231305348,-1.3271372122264389
2009-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0670387128098966,0.2137037047749717,0.0,0.0,-0.8512980231305348,-1.2842434393009516,0.0,0.55,0.0,0.0,-0.8512980231305348,-1.2842434393009516
2009-06-08,1.0,1.0,0.0,1.0,0.0,1.0,0.048076923076923,0.0,1.0,2.0,1.0259602088548163,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,2.0,0.0,-2.1741281818596656,1.114937852516774,1.0592803279916887,-0.9686366844195884,-1.764477492111951,-0.3161850208479296,-0.6237205888147179,-1.0701596552113375,-0.6237205888147179,-1.0701596552113375,0.0795270313122199,0.2479023784034656,0.0,0.0,-1.0041779738750116,-1.3199154278079963,0.2857142857142857,0.6166666666666667,0.0,0.0,-1.0041779738750116,-1.3199154278079963
2009-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0795270313122199,0.2479023784034656,0.0,0.0,-1.0041779738750116,-1.3199154278079963,0.2857142857142857,0.6166666666666667,0.0,0.0,-1.0041779738750116,-1.3199154278079963
2009-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130463877171683,0.2479023784034656,0.0,0.0,-0.575606545303583,-1.3199154278079963,0.2857142857142857,0.6166666666666667,0.0,0.0,-0.575606545303583,-1.3199154278079963
2009-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130463877171683,0.234713633169796,0.0,0.0,-0.575606545303583,-1.2609018263095175,0.2857142857142857,0.5833333333333334,0.0,0.0,-0.575606545303583,-1.2609018263095175
2009-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1465657441221166,0.2215248879361263,0.0,0.0,-0.1528799507444767,-1.1836454113262385,0.2857142857142857,0.55,0.0,0.0,-0.1528799507444767,-1.1836454113262385
