date,publication,raw,rolling7,rolling30,c1_raw,c2_raw,c3_raw,c1,c2,c3,c1_3,c2_3,c3_3,c1_7,c2_7,c3_7,c1_30,c2_30,c3_30
2024-09-23,True,-2.0,-1.4285714285714286,-1.3666666666666667,-2.0,0.0,2.0,-2.0,0.0,2.0,-2.0,-0.6666666666666666,0.6666666666666666,-1.4285714285714286,-0.4285714285714285,1.0,-1.3666666666666667,-0.1,0.9
2024-09-24,False,,-2.0,-1.4333333333333331,,,,-2.0,0.0,2.0,-2.0,-0.3333333333333333,1.3333333333333333,-2.0,-0.4285714285714285,0.8571428571428571,-1.4333333333333331,-0.1,1.0333333333333334
2024-09-25,False,,-2.0,-1.5,,,,-2.0,0.0,2.0,-2.0,0.0,2.0,-2.0,-0.4285714285714285,1.0,-1.5,-0.1,1.1666666666666667
2024-09-26,True,-2.0,-2.0,-1.5666666666666669,-2.0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,2.0,-2.0,-0.4285714285714285,1.1428571428571428,-1.5666666666666669,-0.1,1.3
2024-09-27,True,0.0,-1.7142857142857142,-1.5666666666666669,0.0,0.0,2.0,0.0,0.0,2.0,-1.3333333333333333,0.0,2.0,-1.7142857142857142,-0.2857142857142857,1.4285714285714286,-1.5666666666666669,-0.1,1.4333333333333331
2024-09-28,True,-3.0,-1.8571428571428568,-1.6666666666666667,-3.0,0.0,2.0,-3.0,0.0,2.0,-1.6666666666666667,0.0,2.0,-1.8571428571428568,-0.1428571428571428,1.7142857142857142,-1.6666666666666667,-0.1,1.5666666666666669
2024-09-29,False,,-2.0,-1.7666666666666666,,,,-3.0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,2.0,-1.7666666666666666,-0.1,1.5666666666666669
2024-09-30,True,-3.0,-2.142857142857143,-1.8666666666666667,-3.0,0.0,-2.0,-3.0,0.0,-2.0,-3.0,0.0,0.6666666666666666,-2.142857142857143,0.0,1.4285714285714286,-1.8666666666666667,-0.1,1.4333333333333331
2024-10-01,False,,-2.2857142857142856,-1.9666666666666663,,,,-3.0,0.0,-2.0,-3.0,0.0,-0.6666666666666666,-2.2857142857142856,0.0,0.8571428571428571,-1.9666666666666663,-0.1,1.3
2024-10-02,False,,-2.4285714285714284,-2.0,,,,-3.0,0.0,-2.0,-3.0,0.0,-2.0,-2.4285714285714284,0.0,0.2857142857142857,-2.0,-0.1,1.1666666666666667
2024-10-03,True,-3.0,-2.571428571428572,-2.033333333333333,-3.0,0.0,1.0,-3.0,0.0,1.0,-3.0,0.0,-1.0,-2.571428571428572,0.0,0.1428571428571428,-2.033333333333333,-0.1,1.1333333333333333
2024-10-04,True,-3.0,-3.0,-2.066666666666667,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,0.3333333333333333,-3.0,0.0,0.1428571428571428,-2.066666666666667,-0.1,1.1333333333333333
2024-10-05,False,,-3.0,-2.1,,,,-3.0,0.0,2.0,-3.0,0.0,1.6666666666666667,-3.0,0.0,0.1428571428571428,-2.1,-0.1,1.1333333333333333
2024-10-06,False,,-3.0,-2.1333333333333333,,,,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,0.1428571428571428,-2.1333333333333333,-0.1,1.1333333333333333
2024-10-07,True,-3.0,-3.0,-2.1666666666666665,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,0.7142857142857143,-2.1666666666666665,-0.1,1.1333333333333333
2024-10-08,True,-3.0,-3.0,-2.2,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,1.2857142857142858,-2.2,-0.1,1.1333333333333333
2024-10-09,False,,-3.0,-2.2333333333333334,,,,-3.0,0.0,2.0,-3.0,0.0,2.0,-3.0,0.0,1.8571428571428568,-2.2333333333333334,-0.1,1.1333333333333333
2024-10-10,True,-2.0,-2.857142857142857,-2.2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.6666666666666665,-0.6666666666666666,0.6666666666666666,-2.857142857142857,-0.2857142857142857,1.4285714285714286,-2.2,-0.1666666666666666,1.0666666666666669
2024-10-11,False,,-2.7142857142857144,-2.1666666666666665,,,,-2.0,-2.0,-2.0,-2.333333333333333,-1.3333333333333333,-0.6666666666666666,-2.7142857142857144,-0.5714285714285714,0.8571428571428571,-2.1666666666666665,-0.2333333333333333,0.9333333333333332
2024-10-12,True,1.0,-2.142857142857143,-2.033333333333333,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,-0.6666666666666666,-0.6666666666666666,-2.142857142857143,-0.2857142857142857,0.8571428571428571,-2.033333333333333,-0.1666666666666666,0.9333333333333332
2024-10-13,False,,-1.5714285714285714,-1.9,,,,1.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,-1.5714285714285714,0.0,0.8571428571428571,-1.9,-0.1,0.9333333333333332
2024-10-14,True,-2.0,-1.4285714285714286,-1.8666666666666667,-2.0,0.0,-2.0,-2.0,0.0,-2.0,0.0,1.3333333333333333,0.6666666666666666,-1.4285714285714286,0.0,0.2857142857142857,-1.8666666666666667,-0.1,0.9333333333333332
2024-10-15,True,-2.0,-1.2857142857142858,-1.9333333333333331,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.6666666666666666,0.0,-1.2857142857142858,0.0,0.0,-1.9333333333333331,-0.1,0.8666666666666667
